gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000104964.10,AES,-1.2198527585041847,-0.1280557295379846,0.2225206971453597,0.06321304626549933,0.0270391928118795,0.00277468371923066,NA,53,66,66
ENSG00000060749.10,QSER1,1.2196766094707254,0.1273663937203728,0.2225874920048322,0.05123092419680044,0.0351597978103346,0.000618280697631854,NA,55,61,61
ENSG00000251432.2,RP11-420A23.1,1.219647535085645,0.047389620234387114,0.22259851825061194,0.26042685773681434,0.331906512696196,2.71334919859722e-32,NA,23,26,26
ENSG00000137285.9,TUBB2B,-1.2194733671985292,-0.3113124011418679,0.22266457832218978,0.006372205210388569,0.0553740413511948,1.6903425205177e-05,NA,6,8,8
ENSG00000182628.8,SKA2,1.2193605046775646,0.18758771853691586,0.22270739339740253,0.026474267171685537,0.0400756306244533,0.000261942329012104,NA,10,14,14
ENSG00000163281.7,GNPDA2,1.2192413819657366,0.07172720241611201,0.22275258970558298,0.12074674272327265,0.240789420638899,6.81585074884458e-22,NA,18,22,22
ENSG00000087237.6,CETP,-1.2192028064300673,-0.2421765323044167,0.2227672270437746,0.010102274934426673,0.0541315973883501,1.71354934252678e-05,NA,6,10,10
ENSG00000269641.1,CTB-167G5.6,-1.2190922616491313,-0.7815398278769295,0.22280917664760125,0.0017816553480044601,0.036022106238251,0.000591890281259803,NA,8,12,12
ENSG00000151468.9,CCDC3,-1.2189911635979194,-0.05976132094703516,0.22284754635003312,0.165405678090487,0.248062140482073,7.32553826096408e-23,NA,47,51,51
ENSG00000092108.16,SCFD1,1.2185804664570787,0.16526908851808825,0.22300346669670235,0.03776035241540996,0.129296990593682,8.72256212995222e-12,NA,16,22,22
ENSG00000125450.6,NUP85,1.2175022418844228,0.06728910229541124,0.22341318397378596,0.13223382223493976,0.332863925410089,4.97461856013283e-32,NA,4,8,8
ENSG00000179406.6,LINC00174,-1.2164104299971612,-0.11651236988669707,0.22382861275164412,0.047372746271262124,0.107026019388359,1.25313176173555e-09,NA,41,46,46
ENSG00000106399.7,RPA3,1.216165757608177,0.14341158319523806,0.22392178504658145,0.025843009492914452,0.0634617643854999,3.01146872276615e-06,NA,17,18,18
ENSG00000153574.8,RPIA,-1.2158061007665568,-0.11842111313994509,0.22405879425236497,0.05322939676808168,0.0409153797665803,0.00017967568595366,NA,75,89,89
